"","spid","chid","stkc","stkc_unit","tested_conc_unit"
"104","EPAPLT0199A08",29105,19.8971004486084,"mM","uM"
"105","EPAPLT0199A09",21240,20,"mM","uM"
"106","EPAPLT0199A10",41891,20,"mM","uM"
"107","EPAPLT0199A11",41484,20,"mM","uM"
"108","EPAPLT0199A12",40127,19.9939994812012,"mM","uM"
"109","EPAPLT0199B01",52529,19.9993000030518,"mM","uM"
"110","EPAPLT0199B02",24062,20.5046997070312,"mM","uM"
"111","EPAPLT0199B03",44818,20,"mM","uM"
"112","EPAPLT0199B04",29123,19.9993991851807,"mM","uM"
"113","EPAPLT0199B05",21654,20,"mM","uM"
"114","EPAPLT0199B06",23602,20.0049991607666,"mM","uM"
"115","EPAPLT0199B07",35160,20,"mM","uM"
"116","EPAPLT0199B08",29320,20,"mM","uM"
"117","EPAPLT0199B09",21784,19.9997005462646,"mM","uM"
"118","EPAPLT0199B10",25505,19.9995002746582,"mM","uM"
"119","EPAPLT0199B11",44799,20,"mM","uM"
"120","EPAPLT0199B12",52604,20,"mM","uM"
"121","EPAPLT0199C01",42170,19.9997005462646,"mM","uM"
"122","EPAPLT0199C02",21403,20,"mM","uM"
"123","EPAPLT0199C03",27792,20,"mM","uM"
"124","EPAPLT0199C04",44598,20,"mM","uM"
"125","EPAPLT0199C05",52509,20.0004997253418,"mM","uM"
"126","EPAPLT0199C06",44391,20,"mM","uM"
"127","EPAPLT0199C07",20224,20,"mM","uM"
"128","EPAPLT0199C08",27633,8.86503982543945,"mM","uM"
"129","EPAPLT0199C09",42074,20,"mM","uM"
"130","EPAPLT0199C10",25478,20.0014991760254,"mM","uM"
"131","EPAPLT0199C11",21117,20.0002994537354,"mM","uM"
"132","EPAPLT0199C12",26706,20.0002994537354,"mM","uM"
"133","EPAPLT0199D01",44791,19.9997005462646,"mM","uM"
"134","EPAPLT0199D02",41567,20.0004997253418,"mM","uM"
"135","EPAPLT0199D03",27036,19.9993000030518,"mM","uM"
"136","EPAPLT0199D04",21715,20,"mM","uM"
"137","EPAPLT0199D05",20616,20.0002994537354,"mM","uM"
"138","EPAPLT0199D06",42060,20,"mM","uM"
"139","EPAPLT0199D07",23632,20,"mM","uM"
"140","EPAPLT0199D08",26867,20.0002994537354,"mM","uM"
